epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
54,29.0581,1.16422,1.75074,2.00231,0.00498,2.29972,0.34656,0.24171,0.1011,0.06605,0.33401,0.22936,0.10256,0.06501,1.06097,2.39785,3.07741,0.01338,0,0.000594125,0.000594125,0.000594125
55,29.5781,1.22148,1.81465,2.00542,0.00513,2.08565,0.33413,0.20667,0.11353,0.07029,0.33737,0.20667,0.11243,0.07468,1.05903,2.18056,3.0851,0.01334,0,0.00058175,0.00058175,0.00058175
56,30.0877,1.09377,1.73011,1.88873,0.00445,2.08399,0.33413,0.20667,0.11353,0.07029,0.33737,0.20667,0.11243,0.07468,1.05903,2.18056,3.0851,0.01334,0,0.000569375,0.000569375,0.000569375
57,30.669,1.14413,1.76674,1.92101,0.00505,1.94427,0.49274,0.11111,0.17732,0.11872,0.49274,0.11111,0.17057,0.12185,1.0632,2.23064,3.05748,0.01316,0,0.000557,0.000557,0.000557
58,31.1799,1.13315,1.70287,1.92918,0.0048,2.02412,0.49274,0.11111,0.17732,0.11872,0.49274,0.11111,0.17057,0.12185,1.0632,2.23064,3.05748,0.01316,0,0.000544625,0.000544625,0.000544625
59,31.6946,1.07733,1.59345,1.8279,0.00473,1.9865,0.37345,0.33778,0.18405,0.1215,0.3808,0.33778,0.17849,0.12117,1.04866,2.25537,2.99383,0.01229,0,0.00053225,0.00053225,0.00053225
60,32.1948,1.02447,1.52449,1.847,0.0047,1.88829,0.38444,0.31083,0.18992,0.12043,0.38444,0.31083,0.18761,0.12875,1.06296,2.26756,2.93774,0.01228,0,0.000519875,0.000519875,0.000519875
61,32.6933,1.06909,1.64642,1.82741,0.00454,1.81923,0.38444,0.31083,0.18992,0.12043,0.38444,0.31083,0.18761,0.12875,1.06296,2.26756,2.93774,0.01228,0,0.0005075,0.0005075,0.0005075
62,33.2915,1.17222,1.73708,1.89645,0.00433,1.94984,0.1089,0.29222,0.17418,0.11037,0.11864,0.30222,0.1828,0.12431,1.0563,2.27041,2.95767,0.01228,0,0.000495125,0.000495125,0.000495125
63,33.8118,1.08768,1.57325,1.80126,0.00465,1.85493,0.71027,0.08333,0.16923,0.10967,0.71027,0.08333,0.16859,0.11406,1.05273,2.20268,2.99866,0.01201,0,0.00048275,0.00048275,0.00048275
64,34.3069,1.04324,1.48976,1.7524,0.00451,1.78096,0.71027,0.08333,0.16923,0.10967,0.71027,0.08333,0.16859,0.11406,1.05273,2.20268,2.99866,0.01201,0,0.000470375,0.000470375,0.000470375
65,34.823,1.09169,1.62099,1.76881,0.00435,1.78807,0.67958,0.08333,0.16662,0.10972,0.67958,0.08333,0.16584,0.11986,1.04214,2.31098,2.97734,0.01159,0,0.000458,0.000458,0.000458
66,35.399,1.11544,1.56237,1.82419,0.00464,1.75816,0.67958,0.08333,0.16662,0.10972,0.67958,0.08333,0.16584,0.11986,1.04214,2.31098,2.97734,0.01159,0,0.000445625,0.000445625,0.000445625
67,35.928,1.10761,1.60989,1.7331,0.00447,1.78542,0.0908,0.26222,0.12222,0.08165,0.0908,0.26222,0.12108,0.08514,1.00237,2.29668,2.96723,0.01116,0,0.00043325,0.00043325,0.00043325
68,36.4518,1.09108,1.59862,1.70124,0.00448,1.72483,0.08352,0.26222,0.1128,0.07676,0.09426,0.27222,0.11217,0.07326,0.95321,2.2778,2.93372,0.01092,0,0.000420875,0.000420875,0.000420875
69,36.9654,1.02943,1.50084,1.76436,0.00433,1.71629,0.08352,0.26222,0.1128,0.07676,0.09426,0.27222,0.11217,0.07326,0.95321,2.2778,2.93372,0.01092,0,0.0004085,0.0004085,0.0004085
70,37.4683,1.08739,1.58236,1.75842,0.00458,1.77805,0.36101,0.31,0.12112,0.08053,0.33683,0.2603,0.11357,0.07502,0.97528,2.16355,2.91326,0.01126,0,0.000396125,0.000396125,0.000396125
71,38.0485,1.07832,1.52579,1.72955,0.00469,1.72851,0.41079,0.17889,0.1329,0.0894,0.41079,0.17889,0.12943,0.08555,0.97809,2.12226,2.89345,0.0111,0,0.00038375,0.00038375,0.00038375
72,38.5401,1.06246,1.59697,1.7578,0.00455,1.79151,0.41079,0.17889,0.1329,0.0894,0.41079,0.17889,0.12943,0.08555,0.97809,2.12226,2.89345,0.0111,0,0.000371375,0.000371375,0.000371375
73,39.0662,1.04557,1.60376,1.67991,0.00427,1.54822,0.41679,0.16889,0.13507,0.0888,0.41679,0.16889,0.13324,0.08637,1.00638,2.07449,2.85864,0.01184,0,0.000359,0.000359,0.000359
74,39.5721,1.02844,1.49235,1.65782,0.00426,1.50646,0.41679,0.16889,0.13507,0.0888,0.41679,0.16889,0.13324,0.08637,1.00638,2.07449,2.85864,0.01184,0,0.000346625,0.000346625,0.000346625
75,40.0959,1.06266,1.53504,1.68461,0.00433,1.65419,0.37407,0.347,0.14706,0.09306,0.36478,0.337,0.13913,0.09198,0.98498,1.98596,2.83696,0.01183,0,0.00033425,0.00033425,0.00033425
76,40.673,1.04235,1.46903,1.66301,0.00421,1.58325,0.35484,0.35727,0.13692,0.0835,0.34564,0.34727,0.13142,0.08502,0.99428,1.9351,2.87707,0.01204,0,0.000321875,0.000321875,0.000321875
77,41.1544,1.0373,1.4057,1.69518,0.00456,1.70931,0.35484,0.35727,0.13692,0.0835,0.34564,0.34727,0.13142,0.08502,0.99428,1.9351,2.87707,0.01204,0,0.0003095,0.0003095,0.0003095
78,41.6718,1.00864,1.42635,1.65968,0.00418,1.52612,0.10616,0.38333,0.12496,0.07383,0.0979,0.37333,0.12118,0.07497,1.02462,1.96316,2.93937,0.01199,0,0.000297125,0.000297125,0.000297125
79,42.1715,1.01855,1.44334,1.68587,0.00438,1.69507,0.09548,0.39333,0.11959,0.06986,0.08958,0.38333,0.11664,0.071,1.0264,1.95935,2.97237,0.01201,0,0.00028475,0.00028475,0.00028475
80,42.6822,1.07039,1.57115,1.72728,0.00451,1.61125,0.09548,0.39333,0.11959,0.06986,0.08958,0.38333,0.11664,0.071,1.0264,1.95935,2.97237,0.01201,0,0.000272375,0.000272375,0.000272375
81,43.2717,1.10823,1.50587,1.66623,0.00437,1.56327,0.09047,0.37556,0.11723,0.06771,0.08814,0.36748,0.11418,0.07076,1.02006,1.96515,2.97731,0.0121,0,0.00026,0.00026,0.00026
82,43.763,1.04934,1.47676,1.6441,0.00442,1.58562,0.09047,0.37556,0.11723,0.06771,0.08814,0.36748,0.11418,0.07076,1.02006,1.96515,2.97731,0.0121,0,0.000247625,0.000247625,0.000247625
83,44.2688,1.04767,1.4356,1.66053,0.00434,1.5439,0.07838,0.33778,0.11707,0.06809,0.07838,0.33778,0.11549,0.06932,0.97715,2.00052,3.00031,0.01191,0,0.00023525,0.00023525,0.00023525
84,44.7749,0.99703,1.44599,1.66985,0.00439,1.47741,0.07803,0.34778,0.12026,0.07189,0.08069,0.34778,0.1184,0.07162,0.99122,1.92754,3.00072,0.01209,0,0.000222875,0.000222875,0.000222875
85,45.2731,0.96547,1.35001,1.61232,0.00411,1.46197,0.07803,0.34778,0.12026,0.07189,0.08069,0.34778,0.1184,0.07162,0.99122,1.92754,3.00072,0.01209,0,0.0002105,0.0002105,0.0002105
86,45.8631,1.0156,1.47324,1.60151,0.0041,1.56139,0.41094,0.14889,0.13526,0.08187,0.41094,0.14889,0.12831,0.08267,0.99292,1.91481,2.96444,0.01206,0,0.000198125,0.000198125,0.000198125
87,46.3786,1.05288,1.49846,1.57894,0.00412,1.50373,0.42621,0.14889,0.13159,0.0771,0.42621,0.14889,0.12712,0.08225,0.98887,1.92021,2.94964,0.01172,0,0.00018575,0.00018575,0.00018575
88,46.8894,0.99815,1.4843,1.5551,0.00405,1.43065,0.42621,0.14889,0.13159,0.0771,0.42621,0.14889,0.12712,0.08225,0.98887,1.92021,2.94964,0.01172,0,0.000173375,0.000173375,0.000173375
89,47.394,1.03006,1.47221,1.59003,0.00432,1.42923,0.443,0.14889,0.13166,0.07732,0.443,0.14889,0.12726,0.08171,1.00023,1.90489,2.92778,0.01191,0,0.000161,0.000161,0.000161
90,47.979,1.04732,1.48391,1.64296,0.00445,1.39705,0.443,0.14889,0.13166,0.07732,0.443,0.14889,0.12726,0.08171,1.00023,1.90489,2.92778,0.01191,0,0.000148625,0.000148625,0.000148625
91,48.8312,1.02387,1.36848,1.71733,0.00514,1.44,0.45146,0.14889,0.18909,0.11363,0.45146,0.14889,0.18485,0.12901,0.99176,1.90556,2.91917,0.01162,0,0.00013625,0.00013625,0.00013625
92,49.3294,0.99526,1.36827,1.72134,0.00486,1.48693,0.44203,0.14889,0.15119,0.08871,0.44203,0.14889,0.14862,0.09905,0.98928,1.91884,2.95327,0.01152,0,0.000123875,0.000123875,0.000123875
93,49.7792,0.92883,1.35642,1.72178,0.00492,1.37249,0.44203,0.14889,0.15119,0.08871,0.44203,0.14889,0.14862,0.09905,0.98928,1.91884,2.95327,0.01152,0,0.0001115,0.0001115,0.0001115
94,50.332,0.94082,1.34341,1.67432,0.00428,1.40661,0.44014,0.14889,0.15245,0.09487,0.44014,0.14889,0.14851,0.10014,0.93984,1.87663,3.01935,0.01134,0,9.9125e-05,9.9125e-05,9.9125e-05
95,50.7913,0.9389,1.37257,1.66246,0.00462,1.41469,0.4302,0.14889,0.13382,0.08377,0.4302,0.14889,0.13117,0.08846,0.96632,1.85289,3.0002,0.01177,0,8.675e-05,8.675e-05,8.675e-05
96,51.2373,0.9188,1.28647,1.65575,0.0044,1.43244,0.4302,0.14889,0.13382,0.08377,0.4302,0.14889,0.13117,0.08846,0.96632,1.85289,3.0002,0.01177,0,7.4375e-05,7.4375e-05,7.4375e-05
97,51.6988,0.93877,1.32936,1.63891,0.00467,1.3399,0.42768,0.14889,0.13159,0.08222,0.42768,0.14889,0.12926,0.08856,0.98251,1.8967,3.02453,0.01205,0,6.2e-05,6.2e-05,6.2e-05
98,52.1452,0.90486,1.31752,1.67772,0.00465,1.37438,0.42768,0.14889,0.13159,0.08222,0.42768,0.14889,0.12926,0.08856,0.98251,1.8967,3.02453,0.01205,0,4.9625e-05,4.9625e-05,4.9625e-05
99,52.6708,0.96535,1.47902,1.77499,0.00503,1.68165,0.42332,0.14889,0.13702,0.08575,0.42332,0.14889,0.13508,0.09194,0.97178,1.89116,3.05382,0.01179,0,3.725e-05,3.725e-05,3.725e-05
100,53.1326,0.98529,1.46845,1.70045,0.00474,1.55419,0.40323,0.1635,0.12886,0.07974,0.40323,0.1635,0.12735,0.0856,0.97594,1.86269,3.06089,0.01218,0,2.4875e-05,2.4875e-05,2.4875e-05
